,Addendum B.-- OPPS Payment by HCPCS Code for CY 2026,,,,,,,,,,,
,CPT codes and descriptions only are copyright 2025 American Medical Association. All Rights Reserved. Applicable FARS/DFARS Apply. Dental codes (D codes) are copyright 2025 American Dental Association. All Rights Reserved.,,,,,,,,,,,
,"The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered...",,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,,
,"For the subset of providers to which the 340B remedy offset applies, adjusted OPPS payment rates can be calculated by applying the ratio 0.9951...",,,,,,,,,,,
HCPCS Code,Short Descriptor,SI,APC,Relative Weight,Payment Rate,National Unadjusted Copayment, Minimum Unadjusted Copayment,IRA Coinsurance Percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,* Indicates a Change
0001F,Heart failure composite,E1,,,,,,,,,,
0001U,Rbc dna hea 35 ag 11 bld grp,A,,,,,,,,,,
0002M,Liver dis 10 assays w/ash,Q4,,,,,,,,,,
0002U,Onc clrct 3 ur metab alg plp,Q4,,,,,,,,,,
0003M,Liver dis 10 assays w/nash,Q4,,,,,,,,,,
0003U,Onc ovar 5 prtn ser alg scor,Q4,,,,,,,,,,
0004M,Scoliosis dna alys,A,,,,,,,,,,
0005F,Osteoarthritis composite,E1,,,,,,,,,,
0005U,Onco prst8 3 gene ur alg,Q4,,,,,,,,,,
0006M,Onc hep gene risk classifier,A,,,,,,,,,,
0007M,Onc gastro 51 gene nomogram,A,,,,,,,,,,
0007U,Rx test prsmv ur w/def conf,Q4,,,,,,,,,,
0008U,Hpylori detcj abx rstnc dna,A,,,,,,,,,,
99213,Office o/p est low 20 min,V,5012,,,$120.00,,,,,,,,
99214,Office o/p est mod 30 min,V,5012,,,$120.00,,,,,,,,
