ADDENDUM E. FINAL CY 2026 GEOGRAPHIC PRACTICE COST INDICES (GPCIs) BY STATE AND MEDICARE LOCALITY,,,,,,
,,,,,,
Medicare Administrative Contractor (MAC),State,Locality Number,Locality Name,2026 PW GPCI (with 1.0 Floor)***,2026 PE GPCI,2026 MP GPCI
10112,AL,00,ALABAMA,1.000,0.875,0.566
02102,AK,01,ALASKA*,1.500,1.065,0.551
03102,AZ,00,ARIZONA,1.000,0.969,0.856
07102,AR,13,ARKANSAS,1.000,0.859,0.515
01112,CA,54,BAKERSFIELD,1.019,1.096,0.609
01112,CA,55,CHICO,1.017,1.096,0.536
01112,CA,56,FRESNO,1.017,1.096,0.536
01112,CA,57,HANFORD-CORCORAN,1.017,1.096,0.536
01112,CA,58,MADERA,1.017,1.096,0.536
01112,CA,59,MERCED,1.017,1.096,0.536
01112,CA,60,MODESTO,1.017,1.096,0.536
01112,CA,61,REDDING,1.017,1.096,0.536
01112,CA,62,RIVERSIDE-SAN BERNARDINO-ONTARIO,1.018,1.096,0.853
01112,CA,63,SACRAMENTO-ROSEVILLE-FOLSOM,1.036,1.163,0.536
01112,CA,64,SALINAS,1.031,1.159,0.536
01112,CA,05,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1.095,1.410,0.425
01112,CA,52,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1.095,1.410,0.459
01112,CA,09,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1.110,1.442,0.397
01112,CA,51,NAPA,1.063,1.318,0.508
01112,CA,53,VALLEJO,1.063,1.318,0.459
